Fecha,CCAA,Total casos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-04-04T11:29:24,Andalucía,7869,,,75.51,,,3896,,364,,426,,463,
2020-04-04T11:29:24,Aragón,3078,,,201.17,,,1505,,190,,251,,440,
2020-04-04T11:29:24,Asturias,1522,,,101.29,,,766,,87,,76,,190,
2020-04-04T11:29:24,Baleares,1271,,,89.17,,,634,,114,,71,,422,
2020-04-04T11:29:24,Canarias,1564,,,56.47,,,632,,128,,78,,123,
2020-04-04T11:29:24,Cantabria,1384,,,201.18,,,619,,60,,68,,99,
2020-04-04T11:29:24,Castilla La Mancha,9324,,,388.66,,,3133,,360,,989,,657,
2020-04-04T11:29:24,Castilla y León,8332,,,286.14,,,2664,,348,,786,,2021,
2020-04-04T11:29:24,Cataluña,24734,,,267.50,,,17678,,2108,,2508,,8635,
2020-04-04T11:29:24,Ceuta,73,,,80.21,,,8,,4,,1,,2,
2020-04-04T11:29:24,C. Valenciana,6901,,,110.68,,,1977,,386,,571,,695,
2020-04-04T11:29:24,Extremadura,1979,,,152.19,,,453,,64,,208,,205,
2020-04-04T11:29:24,Galicia,5625,,,181.00,,,1767,,178,,159,,531,
2020-04-04T11:29:24,Madrid,36249,,,410.12,,,14741,,1498,,4723,,15362,
2020-04-04T11:29:24,Melilla,79,,,62.44,,,37,,3,,2,,9,
2020-04-04T11:29:24,Murcia,1188,,,63.46,,,434,,79,,51,,113,
2020-04-04T11:29:24,Navarra,2972,,,352.79,,,1341,,120,,171,,311,
2020-04-04T11:29:24,País Vasco,8187,,,292.69,,,4522,,377,,477,,3098,
2020-04-04T11:29:24,La Rioja,2405,,,581.13,,,805,,64,,128,,843,
2020-04-04T11:29:24,ESPAÑA,124736,,,212.24,,,57612,,6532,,11744,,34219,
