Fecha,CCAA,Total casos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-03-13T14:24:24,Andalucía,219,,,2.53,,,,,8,,0,,,
2020-03-13T14:24:24,Aragón,80,,,6.06,,,,,3,,7,,,
2020-03-13T14:24:24,Asturias,67,,,6.55,,,,,2,,1,,,
2020-03-13T14:24:24,Baleares,30,,,2.52,,,,,2,,1,,,
2020-03-13T14:24:24,Canarias,70,,,2.97,,,,,2,,0,,,
2020-03-13T14:24:24,Cantabria,29,,,4.99,,,,,0,,0,,,
2020-03-13T14:24:24,Castilla-La Mancha,194,,,9.54,,,,,10,,5,,,
2020-03-13T14:24:24,Castilla y León,169,,,6.96,,,,,8,,1,,,
2020-03-13T14:24:24,Cataluña,316,,,4.08,,,,,25,,4,,,
2020-03-13T14:24:24,Ceuta,0,,,0.00,,,,,0,,0,,,
2020-03-13T14:24:24,C. Valenciana,94,,,1.72,,,,,2,,1,,,
2020-03-13T14:24:24,Extremadura,39,,,3.65,,,,,1,,1,,,
2020-03-13T14:24:24,Galicia,85,,,3.15,,,,,2,,0,,,
2020-03-13T14:24:24,Madrid,1990,,,29.79,,,,,180,,81,,,
2020-03-13T14:24:24,Melilla,2,,,2.31,,,,,0,,0,,,
2020-03-13T14:24:24,Murcia,35,,,2.34,,,,,1,,0,,,
2020-03-13T14:24:24,Navarra,130,,,19.87,,,,,4,,0,,,
2020-03-13T14:24:24,País Vasco,417,,,18.89,,,,,20,,14,,,
2020-03-13T14:24:24,La Rioja,243,,,76.71,,,,,2,,2,,,
2020-03-13T14:24:24,ESPAÑA,4209,,,8.99,,,,,272,,120,,193,
