Fecha,CCAA,Total casos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-04-17T11:58:32,Andalucía,11053,10672,381,43.72,,,5298,72,675,4,940,28,2790,156
2020-04-17T11:58:32,Aragón,4664,4489,175,134.54,,,2151,43,240,,562,19,1132,45
2020-04-17T11:58:32,Asturias,2230,2124,54,77.92,,,1474,42,118,2,174,6,545,23
2020-04-17T11:58:32,Baleares,1668,,,35.76,,,905,33,152,0,134,3,938,20
2020-04-17T11:58:32,Canarias,2009,2009,,24.1,,,811,9,159,3,111,4,730,57
2020-04-17T11:58:32,Cantabria,1884,,,96.89,,,903,13,78,1,144,7,510,68
2020-04-17T11:58:32,Castilla La Mancha,15997,,,367.66,,,8018,31,511,8,1852,56,3600,222
2020-04-17T11:58:32,Castilla y León,14903,,,292.89,,,6518,69,297,,1401,29,4924,199
2020-04-17T11:58:32,Cataluña,38316,,,193.56,,,21242,,2305,,3752,134,12787,826
2020-04-17T11:58:32,Ceuta,101,98,3,46,,,9,0,4,0,4,0,44,3,
2020-04-17T11:58:32,C. Valenciana,9869,9486,297,64.85,,,4605,81,632,7,999,27,4024,322
2020-04-17T11:58:32,Extremadura,3019,2656,363,105.46,,,1212,26,110,0,372,13,707,58
2020-04-17T11:58:32,Galicia,8013,,,103.5,,,2535,41,117,,320,10,1456,73
2020-04-17T11:58:32,Madrid,51993,,,267.21,,,9141,,1154,,7007,130,29436,945
2020-04-17T11:58:32,Melilla,104,,,39.31,,,44,,3,0,2,0,30,3
2020-04-17T11:58:32,Murcia,1625,1423,202,32.13,,,585,10,99,2,112,1,545,29
2020-04-17T11:58:32,Navarra,4433,,,244.11,,,1781,29,124,0,338,77,892,47
2020-04-17T11:58:32,País Vasco,12089,,,193.4,,,5939,76,484,6,992,36,6144,331
2020-04-17T11:58:32,La Rioja,4098,3547,551,591.54,,,1226,19,76,1,262,5,1729,75
2020-04-17T11:58:32,ESPAÑA,188068,36504,2026,149.61,,,74397,594,7338,34,19478,585,72963,3502
