Fecha,CCAA,Total casos,Incidencia Acumulada últimos 14 días,Ingreso UCI,Fallecidos
2020-03-04 13:25:35,Andalucía,13,0.15,1,0
2020-03-04 13:25:35,Aragón,0,0.00,0,0
2020-03-04 13:25:35,Asturias,2,0.20,1,0
2020-03-04 13:25:35,Baleares,5,0.43,0,0
2020-03-04 13:25:35,Canarias,7,0.33,0,0
2020-03-04 13:25:35,Cantabria,10,1.72,0,0
2020-03-04 13:25:35,Castilla La Mancha,12,0.59,1,0
2020-03-04 13:25:35,Castilla y León,11,0.46,1,0
2020-03-04 13:25:35,Cataluña,15,0.20,0,0
2020-03-04 13:25:35,Ceuta,0,0.00,0,0
2020-03-04 13:25:35,C. Valenciana,19,0.38,0,1
2020-03-04 13:25:35,Extremadura,6,0.56,0,0
2020-03-04 13:25:35,Galicia,1,0.04,0,0
2020-03-04 13:25:35,Madrid,70,1.05,2,0
2020-03-04 13:25:35,Melilla,0,0.00,0,0
2020-03-04 13:25:35,Murcia,0,0.00,0,0
2020-03-04 13:25:35,Navarra,3,0.46,1,0
2020-03-04 13:25:35,País Vasco,17,0.77,0,0
2020-03-04 13:25:35,La Rioja,7,2.21,0,0
2020-03-04 13:25:35,Total,198,0.42,7,1
