Fecha,CCAA,Total casos,Nuevos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-03-26T12:03:11,Andalucía,3406,396,,,38.96,,,1626,,134,,134,,77,
2020-03-26T12:03:11,Aragón,1116,209,,,79.43,,,562,,93,,48,,4,
2020-03-26T12:03:11,Asturias,841,62,,,77.84,,,300,,34,,27,,40,
2020-03-26T12:03:11,Baleares,660,98,,,53.23,,,205,,43,,17,,39,
2020-03-26T12:03:11,Canarias,784,127,,,33.01,,,279,,45,,24,,18,
2020-03-26T12:03:11,Cantabria,671,161,,,112.55,,,300,,26,,17,,14,
2020-03-26T12:03:11,Castilla La Mancha,3383,603,,,160.32,,,2162,,243,,316,,95,
2020-03-26T12:03:11,Castilla y León,3488,548,,,141.33,,,1515,,202,,206,,308,
2020-03-26T12:03:11,Cataluña,11592,1655,,,148.92,,,7439,,1021,,672,,1697,
2020-03-26T12:03:11,Ceuta,10,1,,,11.84,,,2,,2,,0,,0,
2020-03-26T12:03:11,C. Valenciana,3200,584,,,62.50,,,1278,,230,,167,,57,
2020-03-26T12:03:11,Extremadura,969,227,,,89.39,,,241,,34,,58,,24,
2020-03-26T12:03:11,Galicia,1915,262,,,69.66,,,503,,86,,32,,47,
2020-03-26T12:03:11,Madrid,17166,2569,,,236.00,,,12440,,1221,,2090,,3882,
2020-03-26T12:03:11,Melilla,39,1,,,46.27,,,16,,2,,1,,0,
2020-03-26T12:03:11,Murcia,596,119,,,38.14,,,172,,36,,8,,9,
2020-03-26T12:03:11,Navarra,1411,214,,,205.05,,,649,,54,,49,,35,
2020-03-26T12:03:11,País Vasco,3946,675,,,164.99,,,1907,,137,,180,,621,
2020-03-26T12:03:11,La Rioja,995,67,,,251.20,,,316,,36,,43,,48,
2020-03-26T12:03:11,ESPAÑA,56188,8578,,,113.03,,,31912,,3679,,4089,,7015,
