Fecha,CCAA,Total casos,Nuevos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-04-01T11:29:59,Andalucía,6392,574,,,65.76,,,3147,,260,,308,,182,
2020-04-01T11:29:59,Aragón,2491,219,,,171.68,,,1234,,168,,169,,257,
2020-04-01T11:29:59,Asturias,1322,86,,,105.59,,,590,,76,,63,,109,
2020-04-01T11:29:59,Baleares,1131,62,,,88.65,,,468,,95,,46,,170,
2020-04-01T11:29:59,Canarias,1380,118,,,55.68,,,532,,110,,62,,77,
2020-04-01T11:29:59,Cantabria,1213,42,,,197.05,,,543,,54,,54,,43,
2020-04-01T11:29:59,Castilla La Mancha,7047,623,,,313.45,,,3230,,353,,774,,397,
2020-04-01T11:29:59,Castilla y León,6847,636,,,257.51,,,2692,,345,,585,,1259,
2020-04-01T11:29:59,Cataluña,19991,1218,,,236.15,,,13969,,1769,,1849,,5701,
2020-04-01T11:29:59,Ceuta,51,17,,,58.98,,,6,,3,,1,,0,
2020-04-01T11:29:59,C. Valenciana,5922,414,,,103.84,,,2189,,365,,395,,240,
2020-04-01T11:29:59,Extremadura,1679,51,,,139.08,,,372,,58,,152,,113,
2020-04-01T11:29:59,Galicia,4432,393,,,151.55,,,1338,,158,,103,,259,
2020-04-01T11:29:59,Madrid,29840,2331,,,363.22,,,15227,,1514,,3865,,10827,
2020-04-01T11:29:59,Melilla,62,8,,,48.56,,,32,,3,,1,,0,
2020-04-01T11:29:59,Murcia,1041,67,,,61.52,,,304,,59,,37,,43,
2020-04-01T11:29:59,Navarra,2497,192,,,322.68,,,1120,,104,,130,,236,
2020-04-01T11:29:59,País Vasco,6838,518,,,265.65,,,3806,,324,,369,,2165,
2020-04-01T11:29:59,La Rioja,1960,150,,,486.43,,,619,,54,,90,,569,
2020-04-01T11:29:59,ESPAÑA,102136,7719,,,188.02,,,51418,,5872,,9053,,22647,
