Fecha,CCAA,Total casos,Incidencia Acumulada últimos 14 días,Hospitalizados,Ingreso UCI,Fallecidos,Curados,Nuevos
2020-03-03 13:32:04,Andalucía,13,0.15,,0,0,,
2020-03-03 13:32:04,Aragón,0,0,,0,0,,
2020-03-03 13:32:04,Asturias,1,0.15,,0,0,,
2020-03-03 13:32:04,Baleares,2,0.17,,0,0,,
2020-03-03 13:32:04,Canarias,7,0.33,,0,0,,
2020-03-03 13:32:04,Cantabria,10,1.72,,0,0,,
2020-03-03 13:32:04,Castilla-La Mancha,7,0.34,,0,0,,
2020-03-03 13:32:04,Castilla y León,8,0.33,,0,0,,
2020-03-03 13:32:04,Cataluña,15,0.2,,0,0,,
2020-03-03 13:32:04,Ceuta,0,0,,0,0,,
2020-03-03 13:32:04,C. Valenciana,15,0.3,,0,0,,
2020-03-03 13:32:04,Extremadura,6,0.56,,0,0,,
2020-03-03 13:32:04,Galicia,0,0,,0,0,,
2020-03-03 13:32:04,Madrid,49,0.74,,0,0,,
2020-03-03 13:32:04,Melilla,0,0,,0,0,,
2020-03-03 13:32:04,Murcia,0,0,,0,0,,
2020-03-03 13:32:04,Navarra,1,0.15,,0,0,,
2020-03-03 13:32:04,País Vasco,13,0.59,,0,0,,
2020-03-03 13:32:04,La Rioja,3,0.95,,0,0,,
2020-03-03 13:32:04,TOTAL,150,0,,0,0,0,
