Fecha,CCAA,Total casos,Incidencia Acumulada últimos 14 días,Hospitalizados,Ingreso UCI,Fallecidos,Curados,Nuevos
2020-03-12 15:43:21,Andalucía,115,1.35,,4,0,,
2020-03-12 15:43:21,Aragón,64,4.85,,3,6,,
2020-03-12 15:43:21,Asturias,47,4.60,,2,1,,
2020-03-12 15:43:21,Baleares,22,1.83,,2,1,,
2020-03-12 15:43:21,Canarias,51,2.09,,3,0,,
2020-03-12 15:43:21,Cantabria,16,2.75,,0,0,,
2020-03-12 15:43:21,Castilla-La Mancha,115,5.66,,9,1,,
2020-03-12 15:43:21,Castilla y León,92,3.83,,4,0,,
2020-03-12 15:43:21,Cataluña,260,3.36,,0,4,,
2020-03-12 15:43:21,Ceuta,0,0.00,,0,0,,
2020-03-12 15:43:21,C. Valenciana,76,1.48,,2,1,,
2020-03-12 15:43:21,Extremadura,19,1.78,,1,1,,
2020-03-12 15:43:21,Galicia,35,1.30,,2,0,,
2020-03-12 15:43:21,Madrid,1388,20.77,,135,56,,
2020-03-12 15:43:21,Melilla,0,0.00,,0,0,,
2020-03-12 15:43:21,Murcia,26,1.74,,1,0,,
2020-03-12 15:43:21,Navarra,73,11.16,,3,0,,
2020-03-12 15:43:21,País Vasco,346,15.67,,18,11,,
2020-03-12 15:43:21,La Rioja,205,64.71,,1,2,,
2020-03-12 15:43:21,ESPAÑA,2950,6.29,,190,84,189,
