Fecha,CCAA,Total casos,Incidencia Acumulada últimos 14 días,Hospitalizados,Ingreso UCI,Fallecidos,Curados,Nuevos
2020-03-19 11:53:37,Andalucía,1008,11.84,,25,23,,
2020-03-19 11:53:37,Aragón,281,21.22,,14,15,,
2020-03-19 11:53:37,Asturias,292,28.06,,6,1,,
2020-03-19 11:53:37,Baleares,169,14.18,,7,2,,
2020-03-19 11:53:37,Canarias,220,9.84,,23,3,,
2020-03-19 11:53:37,Cantabria,83,12.56,,4,1,,
2020-03-19 11:53:37,Castilla-La Mancha,801,38.76,,37,42,,
2020-03-19 11:53:37,Castilla y León,868,35.72,,54,29,,
2020-03-19 11:53:37,Cataluña,2702,34.89,,33,55,,
2020-03-19 11:53:37,Ceuta,1,1.18,,0,0,,
2020-03-19 11:53:37,C. Valenciana,921,18.03,,52,24,,
2020-03-19 11:53:37,Extremadura,241,22.01,,3,8,,
2020-03-19 11:53:37,Galicia,453,16.74,,15,4,,
2020-03-19 11:53:37,Madrid,6777,100.35,,590,498,,
2020-03-19 11:53:37,Melilla,23,26.59,,0,0,,
2020-03-19 11:53:37,Murcia,167,11.18,,6,0,,
2020-03-19 11:53:37,Navarra,482,73.22,,11,4,,
2020-03-19 11:53:37,País Vasco,1190,53.13,,44,53,,
2020-03-19 11:53:37,La Rioja,468,144.26,,15,5,,
2020-03-19 11:53:37,ESPAÑA,17147,35.96,,939,767,1107,
