Fecha,CCAA,Total casos,Incidencia Acumulada últimos 14 días,Hospitalizados,Hospitalizados,Ingreso UCI,Fallecidos,Nuevos casos,Curados
2020-03-21 12:29:08,Andalucía,1515,17.68,605,53,40,228,
2020-03-21 12:29:08,Aragón,424,31.30,192,33,22,64,
2020-03-21 12:29:08,Asturias,486,47.03,133,12,5,142,
2020-03-21 12:29:08,Baleares,246,20.88,60,14,4,43,
2020-03-21 12:29:08,Canarias,348,15.65,139,29,7,61,
2020-03-21 12:29:08,Cantabria,215,35.28,92,9,2,71,
2020-03-21 12:29:08,Castilla La Mancha,1423,69.26,635,65,84,379,
2020-03-21 12:29:08,Castilla y León,1466,60.51,575,85,55,319,
2020-03-21 12:29:08,Cataluña,4203,54.45,1681,298,122,933,
2020-03-21 12:29:08,Ceuta,5,5.90,0,0,0,0,
2020-03-21 12:29:08,C. Valenciana,1363,26.64,476,84,50,258,
2020-03-21 12:29:08,Extremadura,354,32.59,65,6,12,57,
2020-03-21 12:29:08,Galicia,739,27.26,168,29,9,161,
2020-03-21 12:29:08,Madrid,8921,131.82,7388,767,804,1756,
2020-03-21 12:29:08,Melilla,25,28.91,8,1,0,1,
2020-03-21 12:29:08,Murcia,240,16.07,61,14,1,36,
2020-03-21 12:29:08,Navarra,664,101.04,222,25,9,110,
2020-03-21 12:29:08,País Vasco,1725,76.09,654,71,85,260,
2020-03-21 12:29:08,La Rioja,564,165.72,128,17,15,67,
2020-03-21 12:29:08,ESPAÑA,24926,52.18,13282,1612,1326,4946,2125
