Fecha,CCAA,Total casos,Nuevos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-03-24T12:24:09,Andalucía,2471,510,,,28.52,,,1132,,102,,87,,66,
2020-03-24T12:24:09,Aragón,758,120,,,54.57,,,384,,66,,37,,3,
2020-03-24T12:24:09,Asturias,662,68,,,62.57,,,224,,23,,22,,30,
2020-03-24T12:24:09,Baleares,478,78,,,40.45,,,127,,35,,10,,19,
2020-03-24T12:24:09,Canarias,557,76,,,24.71,,,207,,36,,16,,8,
2020-03-24T12:24:09,Cantabria,425,78,,,71.07,,,200,,16,,9,,12,
2020-03-24T12:24:09,Castilla La Mancha,2465,387,,,119.34,,,1826,,182,,216,,53,
2020-03-24T12:24:09,Castilla y León,2460,405,,,100.19,,,1057,,137,,124,,140,
2020-03-24T12:24:09,Cataluña,7864,1939,,,100.84,,,3599,,551,,282,,728,
2020-03-24T12:24:09,Ceuta,6,0,,,7.08,,,0,,0,,0,,0,
2020-03-24T12:24:09,C. Valenciana,2167,266,,,42.31,,,917,,161,,115,,37,
2020-03-24T12:24:09,Extremadura,636,143,,,58.82,,,161,,20,,26,,8,
2020-03-24T12:24:09,Galicia,1415,207,,,51.60,,,338,,55,,20,,19,
2020-03-24T12:24:09,Madrid,12352,1777,,,173.64,,,10443,,1050,,1535,,2291,
2020-03-24T12:24:09,Melilla,28,0,,,32.37,,,12,,1,,0,,0,
2020-03-24T12:24:09,Murcia,385,40,,,25.17,,,99,,26,,3,,1,
2020-03-24T12:24:09,Navarra,1014,128,,,153.16,,,405,,45,,31,,11,
2020-03-24T12:24:09,País Vasco,2728,307,,,114.73,,,1425,,106,,133,,344,
2020-03-24T12:24:09,La Rioja,802,55,,,207.70,,,206,,24,,30,,24,
2020-03-24T12:24:09,ESPAÑA,39673,6584,,,80.91,,,22762,,2636,,2696,,3794,
