Fecha,CCAA,Total casos,Nuevos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-03-05T13:42:03,Andalucía,12,,,,0.14,,,,,1,,0,,,
2020-03-05T13:42:03,Aragón,1,,,,0.08,,,,,1,,0,,,
2020-03-05T13:42:03,Asturias,5,,,,0.49,,,,,2,,0,,,
2020-03-05T13:42:03,Baleares,6,,,,0.52,,,,,0,,0,,,
2020-03-05T13:42:03,Canarias,8,,,,0.37,,,,,0,,0,,,
2020-03-05T13:42:03,Cantabria,10,,,,1.72,,,,,0,,0,,,
2020-03-05T13:42:03,Castilla La Mancha,13,,,,0.64,,,,,1,,0,,,
2020-03-05T13:42:03,Castilla y León,11,,,,0.46,,,,,1,,0,,,
2020-03-05T13:42:03,Cataluña,24,,,,0.31,,,,,0,,0,,,
2020-03-05T13:42:03,Ceuta,0,,,,0.00,,,,,0,,0,,,
2020-03-05T13:42:03,C. Valenciana,19,,,,0.38,,,,,0,,1,,,
2020-03-05T13:42:03,Extremadura,6,,,,0.56,,,,,0,,0,,,
2020-03-05T13:42:03,Galicia,1,,,,0.04,,,,,0,,0,,,
2020-03-05T13:42:03,Madrid,90,,,,1.35,,,,,2,,1,,,
2020-03-05T13:42:03,Melilla,0,,,,0.00,,,,,0,,0,,,
2020-03-05T13:42:03,Murcia,0,,,,0.00,,,,,0,,0,,,
2020-03-05T13:42:03,Navarra,3,,,,0.46,,,,,1,,0,,,
2020-03-05T13:42:03,País Vasco,17,,,,0.77,,,,,0,,1,,,
2020-03-05T13:42:03,La Rioja,11,,,,3.47,,,,,0,,0,,,
2020-03-05T13:42:03,ESPAÑA,237,,,,0.51,,,,,9,,3,,0,
