Fecha,CCAA,Total casos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-04-22T10:48:20,Andalucía,11610,11270,340,31.05,311,11921,5565,56,696,4,1050,33,3569,158
2020-04-22T10:48:20,Aragón,5054,4761,293,114.08,,5054,2304,33,252,2,656,13,1530,348
2020-04-22T10:48:20,Asturias,2419,2218,201,69.81,,2419,1665,39,128,6,211,9,642,26
2020-04-22T10:48:20,Baleares,1836,1788,48,36.89,,1836,1005,19,166,5,164,3,1017,12
2020-04-22T10:48:20,Canarias,2094,2094,0,15.42,,2094,841,4,164,0,121,1,927,49
2020-04-22T10:48:20,Cantabria,2160,2012,148,101.19,,2160,956,8,78,0,167,2,718,72
2020-04-22T10:48:20,Castilla La Mancha,17321,15053,2268,272.18,,17321,8243,44,537,3,2140,65,4337,95
2020-04-22T10:48:20,Castilla y León,16839,15141,1698,282.59,,16839,7264,90,505,2,1554,33,5614,185
2020-04-22T10:48:20,Cataluña,43802,43802,0,184.42,,43802,23295,499,2460,23,4247,95,15089,643
2020-04-22T10:48:20,Ceuta,118,100,18,40.11,6,124,9,0,4,0,4,0,76,3
2020-04-22T10:48:20,C. Valenciana,10538,9825,713,57.62,33,10571,4896,30,649,1,1106,17,5011,292
2020-04-22T10:48:20,Extremadura,3230,2692,465,97.97,86,3316,1349,22,112,0,404,7,1051,130
2020-04-22T10:48:20,Galicia,8634,,,77.64,,8634,2674,22,96,,368,8,1625,37
2020-04-22T10:48:20,Madrid,59199,56245,2954,251.36,,59199,7464,,1024,,7577,117,33032,755
2020-04-22T10:48:20,Melilla,105,105,0,13.87,6,111,44,0,3,0,2,0,50,4
2020-04-22T10:48:20,Murcia,1695,1455,240,24.70,22,1717,622,8,104,0,123,3,761,59
2020-04-22T10:48:20,Navarra,4899,4531,368,218.89,59,4958,1894,17,128,0,401,4,1316,126
2020-04-22T10:48:20,País Vasco,13044,11712,1332,162.70,,13044,6201,60,513,6,1124,21,7651,374
2020-04-22T10:48:20,La Rioja,3792,3704,88,265.47,794,4586,1318,21,81,0,298,4,1899,33
2020-04-22T10:48:20,ESPAÑA,208389,188508,11174,131.20,1317,209706,77609,972,7700,52,21717,435,85915,3401
