Fecha,CCAA,Total casos,Nuevos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-04-08T11:32:34,Andalucía,8997,230,,,71.15,,,4463,,520,,605,,1041,
2020-04-08T11:32:34,Aragón,3549,100,,,200.26,,,1716,,255,,349,,659,
2020-04-08T11:32:34,Asturias,1705,26,,,90.54,,,958,,91,,102,,294,
2020-04-08T11:32:34,Baleares,1412,43,,,73.95,,,731,,129,,89,,616,
2020-04-08T11:32:34,Canarias,1762,37,,,51.31,,,703,,138,,91,,249,
2020-04-08T11:32:34,Cantabria,1572,71,,,182.76,,,700,,69,,92,,175,
2020-04-08T11:32:34,Castilla La Mancha,11788,711,,,443.12,,,2731,,354,,1255,,1557,
2020-04-08T11:32:34,Castilla y León,10058,477,,,296.64,,,5322,,342,,1028,,2988,
2020-04-08T11:32:34,Cataluña,29647,1324,,,256.80,,,20250,,2442,,3041,,12250,
2020-04-08T11:32:34,Ceuta,84,1,,,88.47,,,9,,4,,4,,7,
2020-04-08T11:32:34,C. Valenciana,7655,212,,,100.70,,,1714,,371,,724,,1344,
2020-04-08T11:32:34,Extremadura,2184,68,,,135.06,,,898,,98,,271,,328,
2020-04-08T11:32:34,Galicia,6538,207,,,180.96,,,2014,,158,,213,,800,
2020-04-08T11:32:34,Madrid,42450,1981,,,418.00,,,13289,,1450,,5586,,19836,
2020-04-08T11:32:34,Melilla,93,1,,,63.59,,,40,,3,,2,,12,
2020-04-08T11:32:34,Murcia,1326,43,,,56.83,,,515,,86,,85,,203,
2020-04-08T11:32:34,Navarra,3467,112,,,346.98,,,1526,,124,,206,,450,
2020-04-08T11:32:34,País Vasco,9452,431,,,279.96,,,4982,,430,,635,,4151,
2020-04-08T11:32:34,La Rioja,2951,105,,,638.58,,,955,,68,,177,,1061,
2020-04-08T11:32:34,ESPAÑA,146690,6180,,,210.69,,,63516,,7132,,14555,,48021,
