Fecha,CCAA,Total casos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-04-11T10:34:07,Andalucía,9712,,,64.59,,,4808,,602,,737,,1630,
2020-04-11T10:34:07,Aragón,3969,,,180.17,,,1860,,266,,425,,888,
2020-04-11T10:34:07,Asturias,1827,,,80.47,,,1147,,105,,128,,414,
2020-04-11T10:34:07,Baleares,1507,,,56.11,,,778,,137,,102,,757,
2020-04-11T10:34:07,Canarias,1887,,,40.03,,,745,,144,,95,,432,
2020-04-11T10:34:07,Cantabria,1719,,,134.58,,,773,,75,,107,,281,
2020-04-11T10:34:07,Castilla La Mancha,13456,,,439.97,,,2198,,316,,1483,,2205,
2020-04-11T10:34:07,Castilla y León,11543,,,281.39,,,5817,,327,,1180,,3757,
2020-04-11T10:34:07,Cataluña,32984,,,243.91,,,21921,,2629,,3331,,14258,
2020-04-11T10:34:07,Ceuta,93,,,89.65,,,9,,4,,4,,17,
2020-04-11T10:34:07,C. Valenciana,8578,,,90.81,,,4132,,565,,818,,2289,
2020-04-11T10:34:07,Extremadura,2486,,,102.27,,,1052,,104,,303,,462,
2020-04-11T10:34:07,Galicia,7176,,,163.14,,,2215,,144,,261,,1082,
2020-04-11T10:34:07,Madrid,45849,,,365.11,,,11894,,1376,,6084,,23663,
2020-04-11T10:34:07,Melilla,98,,,61.28,,,43,,3,,2,,18,
2020-04-11T10:34:07,Murcia,1413,,,40.90,,,533,,88,,94,,275,
2020-04-11T10:34:07,Navarra,3817,,,303.88,,,1641,,124,,227,,603,
2020-04-11T10:34:07,País Vasco,10515,,,243.64,,,5402,,453,,765,,4741,
2020-04-11T10:34:07,La Rioja,3223,,,564.08,,,1082,,73,,207,,1337,
2020-04-11T10:34:07,ESPAÑA,161852,,,190.54,,,68050,,7535,,16353,,59109,
