Fecha,CCAA,Total casos,Incidencia Acumulada últimos 14 días,Ingreso UCI,Fallecidos,Curados
2020-03-10 14:51:15,Andalucía,71,0.84,1,0,
2020-03-10 14:51:15,Aragón,38,2.88,3,3,
2020-03-10 14:51:15,Asturias,22,2.15,2,0,
2020-03-10 14:51:15,Baleares,13,1.13,1,0,
2020-03-10 14:51:15,Canarias,25,1.16,1,0,
2020-03-10 14:51:15,Cantabria,12,2.07,0,0,
2020-03-10 14:51:15,Castilla La Mancha,39,1.92,2,0,
2020-03-10 14:51:15,Castilla y León,56,2.33,2,0,
2020-03-10 14:51:15,Cataluña,124,1.62,0,3,
2020-03-10 14:51:15,Ceuta,0,0.00,0,0,
2020-03-10 14:51:15,C. Valenciana,50,1.00,1,1,
2020-03-10 14:51:15,Extremadura,8,0.75,0,0,
2020-03-10 14:51:15,Galicia,22,0.81,2,0,
2020-03-10 14:51:15,Madrid,782,11.74,77,21,
2020-03-10 14:51:15,Melilla,0,0.00,0,0,
2020-03-10 14:51:15,Murcia,9,0.60,0,0,
2020-03-10 14:51:15,Navarra,12,1.83,2,0,
2020-03-10 14:51:15,País Vasco,195,8.83,5,6,
2020-03-10 14:51:15,La Rioja,144,45.45,1,1,
2020-03-10 14:51:15,Total,1622,3.48,100,35,135
