Fecha,CCAA,Total casos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-03-27T11:23:53,Andalucía,3793,,,42.48,,,1843,,148,,144,,92,
2020-03-27T11:23:53,Aragón,1338,,,95.35,,,693,,114,,58,,8,
2020-03-27T11:23:53,Asturias,900,,,81.44,,,339,,47,,29,,52,
2020-03-27T11:23:53,Baleares,755,,,63.25,,,237,,46,,22,,67,
2020-03-27T11:23:53,Canarias,878,,,37.52,,,328,,61,,27,,20,
2020-03-27T11:23:53,Cantabria,810,,,134.41,,,355,,29,,21,,19,
2020-03-27T11:23:53,Castilla La Mancha,3934,,,183.98,,,2707,,273,,367,,153,
2020-03-27T11:23:53,Castilla y León,4132,,,165.16,,,1791,,228,,252,,423,
2020-03-27T11:23:53,Cataluña,12940,,,164.48,,,8545,,1187,,880,,2348,
2020-03-27T11:23:53,Ceuta,17,,,20.05,,,2,,2,,0,,0,
2020-03-27T11:23:53,C. Valenciana,3532,,,68.71,,,1422,,252,,198,,73,
2020-03-27T11:23:53,Extremadura,1231,,,111.64,,,277,,41,,69,,33,
2020-03-27T11:23:53,Galicia,2322,,,82.87,,,557,,98,,43,,67,
2020-03-27T11:23:53,Madrid,19243,,,258.92,,,13580,,1312,,2412,,5044,
2020-03-27T11:23:53,Melilla,42,,,46.25,,,18,,2,,1,,0,
2020-03-27T11:23:53,Murcia,714,,,45.45,,,209,,53,,15,,12,
2020-03-27T11:23:53,Navarra,1641,,,230.96,,,732,,75,,58,,70,
2020-03-27T11:23:53,País Vasco,4601,,,189.51,,,2270,,154,,207,,814,
2020-03-27T11:23:53,La Rioja,1236,,,313.45,,,388,,43,,55,,62,
2020-03-27T11:23:53,ESPAÑA,64059,,,127.27,,,36293,,4165,,4858,,9357,
