Fecha,CCAA,Total casos,Incidencia Acumulada últimos 14 días,Ingreso UCI,Fallecidos,Curados
2020-03-18 12:30:48,Andalucía,859,10.07,21,19,
2020-03-18 12:30:48,Aragón,226,17.13,9,13,
2020-03-18 12:30:48,Asturias,242,23.46,5,1,
2020-03-18 12:30:48,Baleares,112,9.31,4,1,
2020-03-18 12:30:48,Canarias,181,8.08,17,3,
2020-03-18 12:30:48,Cantabria,68,9.98,3,1,
2020-03-18 12:30:48,Castilla-La Mancha,675,32.61,29,28,
2020-03-18 12:30:48,Castilla y León,668,27.38,43,22,
2020-03-18 12:30:48,Cataluña,1866,24.12,33,41,
2020-03-18 12:30:48,Ceuta,1,1.18,0,0,
2020-03-18 12:30:48,C. Valenciana,726,14.13,40,22,
2020-03-18 12:30:48,Extremadura,194,17.61,3,6,
2020-03-18 12:30:48,Galicia,341,12.59,12,3,
2020-03-18 12:30:48,Madrid,5637,83.55,491,390,
2020-03-18 12:30:48,Melilla,20,23.12,0,0,
2020-03-18 12:30:48,Murcia,122,8.17,4,0,
2020-03-18 12:30:48,Navarra,386,58.54,10,3,
2020-03-18 12:30:48,País Vasco,973,43.30,37,40,
2020-03-18 12:30:48,La Rioja,419,130.05,13,5,
2020-03-18 12:30:48,Total,13716,28.75,774,598,1081
