Fecha,CCAA,Total casos,Incidencia Acumulada últimos 14 días,Ingreso UCI,Fallecidos
2020-03-15 13:33:37,Andalucía,437,0,0,6
2020-03-15 13:33:37,Aragón,147,0,0,7
2020-03-15 13:33:37,Asturias,137,0,0,1
2020-03-15 13:33:37,Baleares,28,0,0,1
2020-03-15 13:33:37,Canarias,109,0,0,1
2020-03-15 13:33:37,Cantabria,51,0,0,0
2020-03-15 13:33:37,Castilla La Mancha,401,0,0,10
2020-03-15 13:33:37,Castilla y León,292,0,0,6
2020-03-15 13:33:37,Cataluña,715,0,0,8
2020-03-15 13:33:37,Ceuta,1,0,0,0
2020-03-15 13:33:37,C. Valenciana,409,0,0,5
2020-03-15 13:33:37,Extremadura,95,0,0,2
2020-03-15 13:33:37,Galicia,195,0,0,2
2020-03-15 13:33:37,Madrid,3544,0,0,213
2020-03-15 13:33:37,Melilla,8,0,0,0
2020-03-15 13:33:37,Murcia,71,0,0,0
2020-03-15 13:33:37,Navarra,183,0,0,0
2020-03-15 13:33:37,País Vasco,630,0,0,23
2020-03-15 13:33:37,La Rioja,300,0,0,3
2020-03-15 13:33:37,Total,7753,16.52,382,288
