Fecha,CCAA,Total casos,Incidencia Acumulada últimos 14 días,Hospitalizados,Ingreso UCI,Fallecidos,Curados,Nuevos
2020-03-16 13:57:47,Andalucía,554,6.44,,11,7,,
2020-03-16 13:57:47,Aragón,174,13.19,,7,11,,
2020-03-16 13:57:47,Asturias,177,17.21,,3,1,,
2020-03-16 13:57:47,Baleares,73,6.18,,4,1,,
2020-03-16 13:57:47,Canarias,119,5.20,,9,1,,
2020-03-16 13:57:47,Cantabria,58,8.26,,2,0,,
2020-03-16 13:57:47,Castilla-La Mancha,567,27.74,,23,17,,
2020-03-16 13:57:47,Castilla y León,334,13.79,,24,9,,
2020-03-16 13:57:47,Cataluña,903,11.57,,33,12,,
2020-03-16 13:57:47,Ceuta,1,1.18,,0,0,,
2020-03-16 13:57:47,C. Valenciana,409,7.87,,4,5,,
2020-03-16 13:57:47,Extremadura,111,9.83,,1,2,,
2020-03-16 13:57:47,Galicia,245,9.08,,9,2,,
2020-03-16 13:57:47,Madrid,4165,62.07,,253,213,,
2020-03-16 13:57:47,Melilla,8,9.25,,0,0,,
2020-03-16 13:57:47,Murcia,77,5.15,,2,0,,
2020-03-16 13:57:47,Navarra,274,41.73,,5,1,,
2020-03-16 13:57:47,País Vasco,630,28.13,,29,23,,
2020-03-16 13:57:47,La Rioja,312,98.17,,13,4,,
2020-03-16 13:57:47,ESPAÑA,9191,19.30,,432,309,530,
