Fecha,CCAA,Total casos,Nuevos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-04-23T10:36:49,Andalucía,11845,235,11403,442,30.71,392,12237,5616,51,702,6,1079,29,3847,278
2020-04-23T10:36:49,Aragón,5237,183,4833,404,117.64,0,5237,2340,36,253,1,681,25,1680,150
2020-04-23T10:36:49,Asturias,2453,34,2229,224,70.00,0,2453,1705,40,130,2,223,12,665,23
2020-04-23T10:36:49,Baleares,1861,25,1807,54,35.93,0,1861,1022,17,167,1,168,4,1047,30
2020-04-23T10:36:49,Canarias,2113,19,2113,0,12.96,0,2113,855,14,169,5,121,0,969,42
2020-04-23T10:36:49,Cantabria,2206,46,2023,183,101.02,0,2206,965,9,78,0,173,6,850,132
2020-04-23T10:36:49,Castilla La Mancha,17557,236,15128,2429,249.30,0,17557,8304,61,546,9,2188,48,4577,240
2020-04-23T10:36:49,Castilla y León,17402,563,15510,1892,286.89,0,17402,7397,133,508,3,1582,28,5777,163
2020-04-23T10:36:49,Cataluña,44892,1090,44892,0,180.44,0,44892,23647,352,2478,18,4343,96,15477,388
2020-04-23T10:36:49,Ceuta,118,0,100,18,40.11,6,124,9,0,4,0,4,0,76,0
2020-04-23T10:36:49,C. Valenciana,10692,154,9869,823,54.52,43,10735,4917,21,650,1,1124,18,5388,377
2020-04-23T10:36:49,Extremadura,3260,30,2715,545,92.44,106,3366,1375,26,113,1,407,3,1237,186
2020-04-23T10:36:49,Galicia,8805,171,0,0,75.83,0,8805,2694,20,92,,375,7,1676,51
2020-04-23T10:36:49,Madrid,60487,1288,57094,3393,249.27,0,60487,7077,,981,,7684,107,33645,613
2020-04-23T10:36:49,Melilla,106,1,106,0,15.03,7,113,44,0,3,0,2,0,55,5
2020-04-23T10:36:49,Murcia,1721,26,1460,261,24.43,0,1721,624,2,104,0,124,1,766,5
2020-04-23T10:36:49,Navarra,4994,95,4577,417,216.90,69,5063,1907,13,129,1,409,8,1445,129
2020-04-23T10:36:49,País Vasco,13436,392,11789,1647,164.42,0,13436,6260,59,516,3,1167,43,8136,485
2020-04-23T10:36:49,La Rioja,3839,47,3741,98,256.63,888,4727,1331,13,82,1,303,5,1937,38
2020-04-23T10:36:49,ESPAÑA,213024,4635,191389,12830,128.82,1511,214535,78089,867,7705,52,22157,440,89250,3335
