Fecha,CCAA,Total casos,Incidencia Acumulada últimos 14 días,Ingreso UCI,Fallecidos
2020-03-02 14:24:24,Andalucía,12,0,0,0
2020-03-02 14:24:24,Aragón,0,0,0,0
2020-03-02 14:24:24,Asturias,1,0,0,0
2020-03-02 14:24:24,Baleares,2,0,0,0
2020-03-02 14:24:24,Canarias,7,0,0,0
2020-03-02 14:24:24,Cantabria,10,0,0,0
2020-03-02 14:24:24,Castilla-La Mancha,3,0,0,0
2020-03-02 14:24:24,Castilla y León,3,0,0,0
2020-03-02 14:24:24,Cataluña,15,0,0,0
2020-03-02 14:24:24,Ceuta,0,0,0,0
2020-03-02 14:24:24,C. Valenciana,15,0,0,0
2020-03-02 14:24:24,Extremadura,6,0,0,0
2020-03-02 14:24:24,Galicia,0,0,0,0
2020-03-02 14:24:24,Madrid,29,0,0,0
2020-03-02 14:24:24,Melilla,0,0,0,0
2020-03-02 14:24:24,Murcia,0,0,0,0
2020-03-02 14:24:24,Navarra,1,0,0,0
2020-03-02 14:24:24,País Vasco,9,0,0,0
2020-03-02 14:24:24,La Rioja,1,0,0,0
2020-03-02 14:24:24,Total,114,0,0,0
