Fecha,CCAA,Total casos,Nuevos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-04-02T11:56:29,Andalucía,6972,580,,,70.88,,,3444,,280,,343,,228,
2020-04-02T11:56:29,Aragón,2700,209,,,183.36,,,1320,,178,,200,,320,
2020-04-02T11:56:29,Asturias,1384,62,,,106.77,,,640,,79,,69,,135,
2020-04-02T11:56:29,Baleares,1204,73,,,90.04,,,517,,105,,58,,239,
2020-04-02T11:56:29,Canarias,1444,64,,,56.84,,,566,,113,,68,,94,
2020-04-02T11:56:29,Cantabria,1268,55,,,203.93,,,567,,57,,60,,60,
2020-04-02T11:56:29,Castilla La Mancha,7682,635,,,338.49,,,3230,,355,,854,,494,
2020-04-02T11:56:29,Castilla y León,7355,508,,,270.34,,,2709,,353,,641,,1498,
2020-04-02T11:56:29,Cataluña,21804,1813,,,248.88,,,15489,,1855,,2093,,6917,
2020-04-02T11:56:29,Ceuta,55,4,,,63.70,,,7,,3,,1,,0,
2020-04-02T11:56:29,C. Valenciana,6308,386,,,107.66,,,2189,,379,,443,,432,
2020-04-02T11:56:29,Extremadura,1837,158,,,149.48,,,412,,62,,181,,139,
2020-04-02T11:56:29,Galicia,4842,410,,,162.59,,,1447,,165,,120,,333,
2020-04-02T11:56:29,Madrid,32155,2315,,,380.86,,,15227,,1528,,4175,,12400,
2020-04-02T11:56:29,Melilla,62,0,,,45.09,,,32,,3,,1,,0,
2020-04-02T11:56:29,Murcia,1084,43,,,61.38,,,389,,68,,42,,45,
2020-04-02T11:56:29,Navarra,2682,185,,,336.28,,,1181,,108,,141,,278,
2020-04-02T11:56:29,País Vasco,7317,479,,,277.52,,,4087,,344,,412,,2490,
2020-04-02T11:56:29,La Rioja,2083,123,,,509.79,,,660,,57,,101,,641,
2020-04-02T11:56:29,ESPAÑA,110238,8102,,,197.96,,,54113,,6092,,10003,,26743,
