Fecha,CCAA,Total casos,Nuevos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-04-13T11:32:48,Andalucía,10187,181,,,56.83,,,4993,,621,,815,,1967,
2020-04-13T11:32:48,Aragón,4187,117,,,159.86,,,1938,,274,,464,,946,
2020-04-13T11:32:48,Asturias,1958,66,,,78.22,,,1265,,110,,149,,434,
2020-04-13T11:32:48,Baleares,1550,16,,,47.85,,,811,,143,,117,,862,
2020-04-13T11:32:48,Canarias,1944,26,,,34.36,,,763,,145,,96,,458,
2020-04-13T11:32:48,Cantabria,1777,25,,,116.51,,,827,,75,,117,,317,
2020-04-13T11:32:48,Castilla La Mancha,14054,356,,,403.18,,,7782,,475,,1626,,2532,
2020-04-13T11:32:48,Castilla y León,12628,510,,,284.51,,,6077,,312,,1263,,4154,
2020-04-13T11:32:48,Cataluña,34726,699,,,241.93,,,22780,,2713,,3538,,15602,
2020-04-13T11:32:48,Ceuta,95,2,,,82.57,,,9,,4,,4,,20,
2020-04-13T11:32:48,C. Valenciana,9060,219,,,78.94,,,4269,,576,,876,,2803,
2020-04-13T11:32:48,Extremadura,2658,78,,,102.84,,,1096,,108,,321,,511,
2020-04-13T11:32:48,Galicia,7494,158,,,139.69,,,2344,,136,,284,,1186,
2020-04-13T11:32:48,Madrid,47146,559,,,346.01,,,11233,,1327,,6423,,25385,
2020-04-13T11:32:48,Melilla,101,3,,,57.81,,,43,,3,,2,,18,
2020-04-13T11:32:48,Murcia,1463,14,,,35.08,,,543,,94,,101,,353,
2020-04-13T11:32:48,Navarra,4092,123,,,297.46,,,1693,,124,,239,,695,
2020-04-13T11:32:48,País Vasco,11018,246,,,224.71,,,5622,,464,,831,,5026,
2020-04-13T11:32:48,La Rioja,3358,79,,,512.95,,,1141,,73,,223,,1458,
2020-04-13T11:32:48,ESPAÑA,169496,3477,,,179.26,,,75229,,7777,,17489,,64727,
