Fecha,CCAA,Total casos,Nuevos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-03-25T11:21:12,Andalucía,3010,539,,,34.57,,,1433,,116,,113,,71,
2020-03-25T11:21:12,Aragón,907,149,,,65.09,,,459,,75,,40,,4,
2020-03-25T11:21:12,Asturias,779,117,,,73.24,,,263,,29,,25,,35,
2020-03-25T11:21:12,Baleares,562,84,,,45.55,,,164,,40,,13,,28,
2020-03-25T11:21:12,Canarias,657,100,,,27.92,,,235,,43,,21,,15,
2020-03-25T11:21:12,Cantabria,510,85,,,85.57,,,241,,18,,14,,12,
2020-03-25T11:21:12,Castilla La Mancha,2780,315,,,132.90,,,2162,,210,,263,,71,
2020-03-25T11:21:12,Castilla y León,2940,480,,,119.40,,,1244,,170,,165,,213,
2020-03-25T11:21:12,Cataluña,9937,2073,,,128.54,,,5434,,781,,516,,1274,
2020-03-25T11:21:12,Ceuta,9,3,,,10.66,,,2,,1,,0,,0,
2020-03-25T11:21:12,C. Valenciana,2616,449,,,51.03,,,1071,,198,,143,,44,
2020-03-25T11:21:12,Extremadura,742,106,,,68.97,,,209,,28,,39,,8,
2020-03-25T11:21:12,Galicia,1653,238,,,59.95,,,412,,69,,27,,25,
2020-03-25T11:21:12,Madrid,14597,2245,,,203.02,,,11153,,1150,,1825,,3031,
2020-03-25T11:21:12,Melilla,38,10,,,45.08,,,14,,2,,0,,0,
2020-03-25T11:21:12,Murcia,477,92,,,31.18,,,127,,33,,5,,4,
2020-03-25T11:21:12,Navarra,1197,183,,,176.39,,,506,,51,,33,,23,
2020-03-25T11:21:12,País Vasco,3271,543,,,139.60,,,1577,,119,,155,,466,
2020-03-25T11:21:12,La Rioja,928,126,,,238.17,,,254,,33,,37,,43,
2020-03-25T11:21:12,ESPAÑA,47610,7937,,,96.56,,,26960,,3166,,3434,,5367,
