Fecha,CCAA,Total casos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-03-31T11:32:14,Andalucía,5818,,,61.03,,,2867,,235,,248,,160,
2020-03-31T11:32:14,Aragón,2272,,,156.52,,,1176,,165,,138,,204,
2020-03-31T11:32:14,Asturias,1236,,,101.97,,,529,,65,,55,,90,
2020-03-31T11:32:14,Baleares,1069,,,85.00,,,399,,85,,42,,111,
2020-03-31T11:32:14,Canarias,1262,,,51.73,,,483,,94,,55,,57,
2020-03-31T11:32:14,Cantabria,1171,,,191.54,,,522,,50,,37,,35,
2020-03-31T11:32:14,Castilla La Mancha,6424,,,288.12,,,3225,,344,,708,,296,
2020-03-31T11:32:14,Castilla y León,6211,,,240.88,,,2601,,325,,516,,1028,
2020-03-31T11:32:14,Cataluña,18773,,,226.43,,,12974,,1652,,1672,,4966,
2020-03-31T11:32:14,Ceuta,34,,,38.93,,,3,,3,,1,,0,
2020-03-31T11:32:14,C. Valenciana,5508,,,99.27,,,2189,,356,,339,,200,
2020-03-31T11:32:14,Extremadura,1628,,,138.15,,,371,,51,,133,,91,
2020-03-31T11:32:14,Galicia,4039,,,138.80,,,1250,,149,,84,,187,
2020-03-31T11:32:14,Madrid,27509,,,339.74,,,15140,,1514,,3603,,9330,
2020-03-31T11:32:14,Melilla,54,,,42.78,,,27,,3,,1,,0,
2020-03-31T11:32:14,Murcia,974,,,58.71,,,283,,59,,34,,20,
2020-03-31T11:32:14,Navarra,2305,,,304.49,,,1035,,99,,113,,192,
2020-03-31T11:32:14,País Vasco,6320,,,251.61,,,3594,,307,,325,,1796,
2020-03-31T11:32:14,La Rioja,1810,,,459.28,,,575,,51,,85,,496,
2020-03-31T11:32:14,ESPAÑA,94417,,,177.01,,,49243,,5607,,8189,,19259,
